"","SKA03_16","SKA03_19","SKA03_20","SKA03_27","SKA03_28","SKA03_29","SKA03_36","SKA03_38","SKA03_39","SKA03_41","SKA03_43","SKA03_45","SKA03_46","SKA03_48","SKA03_49","SKA03_56","SKA03_58","SKA03_59"
"BTF3P10",1.92764831324924,4.36914268419539,1.44650734477912,4.42840136144584,6.89910392977458,0,2.05489681894753,2.0805908310681,3.9559591013401,6.02651610141402,2.03013906315659,7.69296274301017,1.71067931131117,0,3.65494589661267,1.76115946540341,3.44242087013691,1.75586873395509
"RAET1K",5.78294493974771,2.1845713420977,21.6976101716868,22.1420068072292,17.2477598244364,35.3113312513161,20.5489681894753,5.20147707767025,13.8458568546904,14.0618709032994,15.2260429736744,13.4626848002678,10.264075867867,13.9477282718104,12.7923106381444,7.04463786161364,6.88484174027382,10.5352124037305
"RAET1L",3.85529662649848,0,0,4.42840136144584,0,0,0,0,3.9559591013401,0,0,0.961620342876272,0,0,0,0,0,0
"ULBP3",210.113666144167,254.502561354382,264.710844094579,221.420068072292,172.477598244364,215.399120633028,203.434785075806,228.864991417491,233.401586979066,231.016450554204,263.918078210357,225.019160233048,225.809669093074,213.865166834426,211.986862003535,186.682903332762,168.678622636708,166.807529725733
"PPP1R14C",219.751907710413,251.225704341235,267.603858784137,162.374716586347,131.082974665717,169.494390006317,125.3487059558,147.721949005835,153.293415176929,305.343482471644,227.375575073538,250.021289147831,179.621327687673,207.356226974248,197.367078417084,179.638265471148,224.617961776433,280.938997432814
"IYD",10.6020657228708,21.845713420977,10.1255514134538,19.189739232932,6.89910392977458,28.2490650010529,50.3449720642146,52.0147707767025,73.1852433747919,28.1237418065988,56.8438937683846,44.2345357723085,32.5029069149122,24.1760623378046,40.2044048627394,99.5055097952927,186.751332204927,179.098610863419
"PLEKHG1",204.330721204419,207.534277499281,192.385476855623,228.800737008035,115.559990823724,88.2783281282902,199.324991437911,196.615833535935,199.775934617675,347.529095181542,418.208647010258,416.381608465426,147.11842077276,142.266828372466,162.645092399264,113.59478551852,95.5271791462992,77.2582242940239
"PDCL3P5",3.85529662649848,4.36914268419539,2.89301468955824,2.95226757429723,3.44955196488729,7.06226625026322,2.05489681894753,4.1611816621362,0,2.00883870047134,2.03013906315659,3.84648137150509,3.42135862262233,5.57909130872415,3.65494589661267,0,0,0
"MTHFD1L",3963.24493204043,3439.60757813282,3294.42047773445,2955.9579087651,3494.39614043082,3767.71904451543,2279.90802062229,2059.78492275742,1899.84935841858,3197.06679180014,2701.10002352985,3116.611531262,3190.41691559533,3225.64462499401,3353.41286014213,1257.46785829804,1142.88372888545,1004.35691582231
"ARL4AP5",1.92764831324924,1.09228567104885,0.72325367238956,0,10.3486558946619,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPL32P16",8.67441740962157,2.1845713420977,0.72325367238956,1.47613378714861,0,3.53113312513161,0,10.4029541553405,0,4.01767740094268,0,1.92324068575254,1.71067931131117,0,0,0,0,0.877934366977544
"AKAP12",368.180827830605,222.826276893965,444.07775484719,195.587726797191,79.3396951924077,134.183058755001,2.05489681894753,2.0805908310681,3.9559591013401,311.369998573058,454.751150147077,542.353873382217,164.225213885872,130.178797203564,230.261591486598,1.76115946540341,5.16363130520536,1.75586873395509
"ZBTB2",1339.71557770822,1319.48109062701,1390.09355833273,1496.06159327512,946.902014361561,1124.66590035442,1132.24814724009,1005.96566682143,913.826552409564,1092.80825305641,1159.20940506241,1207.7951506526,1465.19683013801,1421.7384351732,1333.14151578947,785.477121569921,705.696278378066,644.403825361518
"RMND1",570.583900721775,690.324544102872,692.153764476809,741.757228042178,769.250088169866,794.504953154612,839.425350540067,1026.77157513211,984.04482645835,614.70464234423,675.021238499567,643.324009384226,767.239671123058,884.285972432778,878.100751661195,992.413358754822,1068.87168017751,1227.35224503461
"ARMT1",920.452069576511,1052.96338689109,987.964516484139,1077.57766461849,651.965321363698,776.849287528954,1967.56370414226,1922.46592790692,1739.63301481431,1404.17825162947,1195.75190819923,1367.42412757006,1359.13471283672,1630.95435925036,1469.28825043829,2202.32991148697,2322.77348212488,2265.94860116904
"CCDC170",34.6976696384863,19.6611420788793,8.67904406867472,2.95226757429723,13.7982078595492,14.1245325005264,18.4940713705278,12.4835449864086,15.8238364053604,6.02651610141402,20.3013906315659,9.61620342876272,8.55339655655584,9.29848551454025,20.1022024313697,47.5513055658921,46.4726817468483,40.384980880967
"ESR1",3.85529662649848,0,2.89301468955824,13.2852040843375,6.89910392977458,0,4.10979363789507,0,0,0,0,1.92324068575254,1.71067931131117,0,1.82747294830634,0,0,0
"SYNE1",235.173094216407,133.258851867959,210.466818665362,388.96125291366,331.15698862918,233.054786258686,399.677431285295,326.652760477692,303.619861027853,178.786644341949,215.194740694599,240.405085719068,189.88540355554,143.19667692392,149.85278176112,321.411602436122,395.01779484821,326.591584515647
"MYCT1",0,0,0,0,3.44955196488729,7.06226625026322,0,0,0,0,0,1.92324068575254,1.71067931131117,0,1.82747294830634,0,0,0
"FBXO5",1325.25821535885,1815.37878528319,1706.15541316697,1464.32471685142,665.763529223247,941.046977847574,1323.35355140221,1364.86758518067,1303.48852389156,1653.27425048791,1806.82376620937,1910.73962129515,1448.94537668056,1619.79617663291,1671.22401122614,959.831908644859,1148.90796540819,884.957841913365
"MTRF1L",1575.85249608125,1196.05280979849,1403.83537810814,1126.29007959439,1253.91213923653,1163.50836473087,913.401636022178,846.800468244716,828.773431730752,1213.33857508469,1335.83150355704,1320.30473076912,1274.45608692682,1226.47023936786,1210.70082825295,911.400023346265,934.617266242171,883.20197317941
"RGS17",0,2.1845713420977,0,8.85680272289168,0,12.3589659379606,6.1646904568426,14.5641358174767,1.97797955067005,4.01767740094268,2.03013906315659,7.69296274301017,5.98737758958908,5.57909130872415,9.13736474153168,16.7310149213324,6.02423652273959,11.4131467707081
"RPL27AP6",210.113666144167,227.19541957816,179.366910752611,100.377097526106,251.817293436772,225.992520008423,117.129118680009,110.271314046609,94.9430184321625,124.547999429223,109.627509410456,98.0852749733797,94.0873621221142,102.283340659943,137.060471122975,149.69855455929,127.369572195066,117.643205174991
"OPRM1",2.89147246987386,0,7.2325367238956,0.738066893574306,3.44955196488729,0,2.05489681894753,0,0,0,0,0,0,0,0,0,0,0
"IPCEF1",22.1679556023662,21.845713420977,37.6091909642571,27.3084750622493,27.5964157190983,17.655665625658,75.003733891585,40.5715212058279,51.4274683174213,25.1104837558918,17.256182036831,17.3091661717729,18.8174724244228,1.85969710290805,12.7923106381444,22.8950730502443,6.88484174027382,3.51173746791018
"LOC105378067",8.67441740962157,4.36914268419539,12.2953124306225,13.2852040843375,37.9450716137602,14.1245325005264,5.13724204736883,2.0805908310681,1.97797955067005,5.02209675117835,5.07534765789148,5.76972205725763,4.27669827827792,1.85969710290805,1.82747294830634,2.64173919810512,3.44242087013691,0
"CNKSR3",1581.635441021,1393.75651625833,1724.9600086491,1775.78894593978,1252.18736325409,1253.55225942172,1951.12452959068,1637.42498405059,1722.82018863361,1570.91186376859,1722.57299508837,1737.64795957742,1308.66967315304,1201.3643284786,1242.68160484831,1638.75888255787,1814.15579856215,1582.91566366051
"LOC101928868",98.3100639757111,61.1679975787355,67.2625915322291,22.1420068072292,46.5689515259784,109.46512687908,79.11352752948,92.5862919825304,58.3503967447665,49.2165481615479,22.3315296947225,19.2324068575254,23.0941707027008,14.8775768232644,14.6197835864507,125.042322043642,91.2241530586281,100.962452202418
"SCAF8",1868.85503969514,2228.26276893965,2226.89805728745,3108.73775573498,1560.9222641115,1463.65468036705,2266.55119129913,2051.46255943315,2107.53721123894,2059.05966798313,2337.70513122482,2487.71182702092,2104.99089256839,1977.78786894271,2295.30602307276,1707.44410170861,1876.97997944215,1856.83118615751
"MIR1273C",0,0,0,0,3.44955196488729,0,0,0,0,0,1.0150695315783,1.92324068575254,1.71067931131117,0,0,0,0,0.877934366977544
"TIAM2",61.6847460239756,70.9985686181751,88.2369480315263,130.637840162652,43.1193995610911,38.8424643764477,113.019325042114,75.9415653339856,116.700793489533,51.2253868620192,85.2658406525769,100.008515659132,96.6533810890809,61.3700043959657,95.9423297860827,71.3269583488381,87.7817321884911,108.863861505215
"TFB1M",240.956039156155,216.272562867672,211.190072337751,275.298951303216,279.41370915587,278.959516885397,241.450376226335,233.026173079627,242.302494957081,270.188805213395,216.209810226177,219.24943817579,269.431991531509,264.076988612943,286.913252884095,198.130439857884,281.417906133692,230.018804148117
"CLDN20",0.963824156624619,0,15.1883271201808,42.0698129337355,15.5229838419928,21.1867987507897,0,0,0,4.01767740094268,0,1.92324068575254,8.55339655655584,0,14.6197835864507,1.76115946540341,0,3.51173746791018
"ARID1B",1322.36674288898,837.783109694466,1280.88225380191,2284.31703561248,2074.9055068797,1742.61419725245,1553.50199512433,1311.81251898844,1461.72688794517,953.193963373652,1221.12864648869,1148.17468939427,1736.33950098083,1411.51010110721,1685.8437948126,1360.49568702413,1455.28342285038,1373.08934995288
"LOC105378075",11.5658898794954,6.55371402629309,11.572058758233,2.95226757429723,6.89910392977458,0,0,0,0,12.053032202828,22.3315296947225,7.69296274301017,0,3.7193942058161,12.7923106381444,0,1.72121043506845,3.51173746791018
"TMEM242",495.405616505054,410.699412314367,448.417276881527,273.822817516068,343.230420506285,379.596810951648,461.324335853721,326.652760477692,407.463787438031,368.621901536491,262.903008678779,254.829390862212,292.52616223421,302.200779222558,290.568198780707,471.990736728114,376.945085279991,496.032917342313
"LDHAL6FP",1.92764831324924,0,0,4.42840136144584,0,0,0,0,0,0,2.03013906315659,0,1.71067931131117,0,0,1.76115946540341,0,0
"LOC112267967",21.2041314457416,13.1074280525862,13.7418197754016,63.4737528473904,75.8901432275204,49.4358637518425,4.10979363789507,1.04029541553405,0,3.01325805070701,2.03013906315659,7.69296274301017,22.2388310470452,3.7193942058161,11.8785741639912,2.64173919810512,0,3.51173746791018
"ZDHHC14",190.837183011675,220.641705551867,190.215715838454,247.990476240967,315.634004787187,224.226953445857,282.548312605286,221.582923508753,285.818045071822,169.746870189828,144.139873484118,117.317681830905,288.249463955932,280.814262539116,337.168758962519,257.129281948898,294.326984396706,354.685484258928
