"","SKA03_16","SKA03_19","SKA03_20","SKA03_41","SKA03_43","SKA03_45"
"PACC1",207.394365245367,251.466855078524,269.678044421292,261.102160866634,252.037709929375,238.297778219891
"LOC105372906",11.9650595333866,9.10287258202802,26.5132908841158,16.7105382954646,4.23592789797269,5.00625584495569
"NENF",3160.76989340296,2252.96096405193,2201.3606659783,1623.011031947,1335.37626983589,1153.44134667779
"LINC02771",0,2.275718145507,0,0,0,0
"ATF3",1706.01807180204,2353.09256245424,2609.66534559369,2237.12331430532,2272.57531726235,2463.0778757182
"FAM71A",1.99417658889776,0,3.0300903867561,2.08881728693307,0,0
"LINC02773",0,2.275718145507,0,0,0,0
"BATF3",21.9359424778754,19.3436042368095,16.6654971271585,20.8881728693307,5.29490987246587,4.00500467596456
"NSL1",936.2659084875,787.398478345424,818.124404424146,1086.1849892052,989.089164176624,1054.31748094767
"TATDN3",202.408923773123,202.538914950123,152.262041934494,171.283017528512,175.791007765867,150.187675348671
"SPATA45",1.99417658889776,2.275718145507,0,0,2.11796394898635,1.00125116899114
"FLVCR1-DT",66.8049157280751,46.6522219828936,44.6938332046524,21.9325815127973,11.6488017194249,3.00375350697342
"FLVCR1",2091.89124175375,1458.73533126999,1638.52137663836,1355.64241921956,1470.92596257102,1358.69783632098
"VASH2",5.98252976669329,6.82715443652101,4.54513558013414,14.6217210085315,4.23592789797269,10.0125116899114
"ANGEL2",354.963432823802,430.110729500824,387.094046908091,543.092494602599,626.917328899958,604.755706070648
"RPS6KC1",367.925580651637,386.872084736191,381.033866134579,397.919693160751,465.952068776996,538.673128917233
"LOC105372912",1.99417658889776,0,0,0,1.05898197449317,0
"PROX1-AS1",0,0,0,0,2.11796394898635,0
"PROX1",23.9301190667732,29.5843358915911,37.8761298344512,12.5329037215984,44.4772429287133,12.0150140278937
"SMYD2",969.169822204313,1338.12226955812,1293.09107254816,1298.19994382891,1203.00352302424,1360.70033865896
"LOC107985263",18.9446775945288,17.0678860913025,5.30265817682317,2.08881728693307,6.35389184695904,4.00500467596456
